index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/gesellschaft/regional/sachsen-anhalt/schwimmen--freibadsaison-in-sachsen-anhalt-eroeffnet-33425474.html,https://www.stern.de/gesellschaft/regional/sachsen-anhalt/schwimmen--freibadsaison-in-sachsen-anhalt-eroeffnet-33425474.html,0,www.stern.de,Schwimmen: Freibadsaison in Sachsen-Anhalt eröffnet,"Die Freibadsaison in Sachsen-Anhalt ist eröffnet. Am Wochenende startete das beheizte Freibad in Zielitz (Landkreis Börde) in die neue Saison. Die meisten Freibäder und öffentlich zugänglichen Badegewässer beginnen in der Regel ab Mitte Mai mit dem Betrieb, w…",https://image.stern.de/33425476/t/64/v1/w1440/r1.7778/-/01--urnnewsmldpacom2009010123050199514503v1w800h600l905t259r2351b1956jpeg---2c0525162cd4662b.jpg,2023-05-01T07:14:33Z,,Die Freibadsaison in Sachsen-Anhalt ist eröffnet. Am Wochenende startete das beheizte Freibad in Zielitz (Landkreis Börde) in die neue Saison. Die meisten Freibäder und öffentlich zugänglichen Badege… [+1449 chars],,de,'Freibad'
https://www.focus.de/panorama/wetter-aktuell/wetter-in-deutschland-im-ticker-sonne-hier-gewitter-dort-wetter-mix-am-1-mai_id_54933749.html,https://www.focus.de/panorama/wetter-aktuell/wetter-in-deutschland-im-ticker-sonne-hier-gewitter-dort-wetter-mix-am-1-mai_id_54933749.html,0,www.focus.de,"Wetterlage im Ticker - Sonne hier, Gewitter dort - Wetter-Mix am 1. Mai","Alles neu macht der Mai - ganz so ist es in diesem Jahr nicht. Der 1. Mai zeigt sich wechselhaft. Während der Norden Sonne genießen kann, wird es in der Südhälfte regnerisch. Die News im Wetter-Ticker.",https://p6.focus.de/img/regional/sachsen-anhalt/id_191504035/eine-passantin-geht-bei-regen-durch-die-stadt..jpg?im=Crop%3D%280%2C170%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&hash=3a68d2a9ef0186cc2b6fbc7b7d6102b5761d1290b755a7f635db0d65266a038e,2023-05-01T07:28:07Z,,"Alles neu macht der Mai - ganz so ist es in diesem Jahr nicht. Der 1. Mai zeigt sich wechselhaft. Während der Norden Sonne genießen kann, wird es in der Südhälfte regnerisch. Die News im Wetter-Ticke… [+12262 chars]",,de,'Freibad'
https://www.zeit.de/news/2023-05/01/wechselhaftes-wetter-in-hessen-mittwoch-scheint-die-sonne,https://www.zeit.de/news/2023-05/01/wechselhaftes-wetter-in-hessen-mittwoch-scheint-die-sonne,0,www.zeit.de,Vorhersage: Wechselhaftes Wetter in Hessen: Mittwoch scheint die Sonne,,,2023-05-01T08:25:35Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Sonne'
https://www.zeit.de/news/2023-05/01/nach-fruehlings-intermezzo-verabschiedet-sich-die-sonne,https://www.zeit.de/news/2023-05/01/nach-fruehlings-intermezzo-verabschiedet-sich-die-sonne,0,www.zeit.de,Wetter: Nach Frühlings-Intermezzo verabschiedet sich die Sonne,,,2023-05-01T10:12:45Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Sonne'
https://www.zeit.de/news/2023-05/02/bewoelktes-wetter-in-hessen-erwartet-sonne-am-mittwoch,https://www.zeit.de/news/2023-05/02/bewoelktes-wetter-in-hessen-erwartet-sonne-am-mittwoch,0,www.zeit.de,Wetter: Bewölktes Wetter in Hessen erwartet: Sonne am Mittwoch,,,2023-05-02T05:42:58Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Sonne'
https://www.faz.net/aktuell/wirtschaft/wohnen/garten/fruehlingsfieber-wenn-die-tulpen-bluehen-18855203.html,https://www.faz.net/aktuell/wirtschaft/wohnen/garten/fruehlingsfieber-wenn-die-tulpen-bluehen-18855203.html,0,www.faz.net,Wenn die Tulpen blühen,"Mit den ersten Sonnenstrahlen leuchten uns überall Narzissen, Tulpen und Co. entgegen. Fans der Zwiebel zieht es bis Mitte Mai zum Keukenhof in Holland.",https://media0.faz.net/ppmedia/aktuell/906312779/1.8857594/facebook_teaser_fplus/betoerend-die-kraeftigen.jpg,2023-05-02T09:13:35Z,,"Sie stehen stramm in Reih und Glied, doch martialisch ist bei dieser Aufstellung wenig. Stattdessen Farbe satt: mal als nicht enden wollender Teppich, der quer durch die Landschaft läuft, mal als Ins… [+882 chars]",,de,'Tulpe'
https://www.sueddeutsche.de/muenchen/muenchen-schwimmbad-eintrittspreise-freibad-hallenbad-1.5834716,https://www.sueddeutsche.de/muenchen/muenchen-schwimmbad-eintrittspreise-freibad-hallenbad-1.5834716,0,www.sueddeutsche.de,Schwimmbäder in München: Freibad-Saison beginnt - Stadtwerke erhöhen Eintritt,Die Ersten stehen bei zehn Grad schon um sieben Uhr am Schyrenbad an. Diesen Sommer sollen die Bäder länger geöffnet bleiben - doch Schwimmerinnen und Schwimmer müssen schon wieder mehr zahlen.,https://www.sueddeutsche.de/image/sz.1.5834720/1200x675?v=1683037076,2023-05-02T14:12:14Z,,Die Ersten stehen bei zehn Grad schon um sieben Uhr am Schyrenbad an. Diesen Sommer sollen die Bäder länger geöffnet bleiben - doch Schwimmerinnen und Schwimmer müssen schon wieder mehr zahlen.Bereit… [+3867 chars],,de,'Freibad'
https://www.focus.de/panorama/wetter-aktuell/wetter-in-deutschland-im-ticker-wetterdienst-hat-gute-nachrichten-erster-sommertag-mit-werten-ueber-25-grad-in-sicht_id_54933749.html,https://www.focus.de/panorama/wetter-aktuell/wetter-in-deutschland-im-ticker-wetterdienst-hat-gute-nachrichten-erster-sommertag-mit-werten-ueber-25-grad-in-sicht_id_54933749.html,0,www.focus.de,"Wetterlage im Ticker - Sonne hier, Gewitter dort - Wetter-Mix am 1. Mai",Alles neu macht der Mai - ganz so ist es in diesem Jahr nicht. Doch der Deutsche Wetterdienst hat gute Nachrichten: Der erste Sommertag des Jahres 2023 ist in Sicht – mit Werten über 25 Grad. Die News im Wetter-Ticker.,https://p6.focus.de/img/regional/sachsen-anhalt/id_191504035/eine-passantin-geht-bei-regen-durch-die-stadt..jpg?im=Crop%3D%280%2C170%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&hash=3a68d2a9ef0186cc2b6fbc7b7d6102b5761d1290b755a7f635db0d65266a038e,2023-05-02T18:11:29Z,https://web.archive.org/web/20230503212614/https://www.focus.de/panorama/wetter-aktuell/wetter-in-deutschland-im-ticker-wetterdienst-hat-gute-nachrichten-erster-sommertag-mit-werten-ueber-25-grad-in-sicht_id_54933749.html,Alles neu macht der Mai - ganz so ist es in diesem Jahr nicht. Doch der Deutsche Wetterdienst hat gute Nachrichten: Der erste Sommertag des Jahres 2023 ist in Sicht mit Werten über 25 Grad. Die News … [+9906 chars],,de,'Freibad'
https://www.sueddeutsche.de/muenchen/wolfratshausen/bad-toelz-wolfratshausen-gartenpflege-maehroboter-rasenmaehen-landesbund-fuer-vogelschutz-bund-naturschutz-1.5834174,https://www.sueddeutsche.de/muenchen/wolfratshausen/bad-toelz-wolfratshausen-gartenpflege-maehroboter-rasenmaehen-landesbund-fuer-vogelschutz-bund-naturschutz-1.5834174,0,www.sueddeutsche.de,Gartenpflege: Gefahr auf Rollen,"Mähroboter halten in immer mehr Gärten den Rasen kurz. Dort bedrohen die Maschinen jedoch Igel und andere Kleintiere - besonders, wenn sie nachts laufen.",https://www.sueddeutsche.de/image/sz.1.5834175/1200x675?v=1683053681,2023-05-02T18:54:42Z,,"Mähroboter halten in immer mehr Gärten den Rasen kurz. Dort bedrohen die Maschinen jedoch Igel und andere Kleintiere - besonders, wenn sie nachts laufen.Klar, es ist gemütlicher: Anstatt dass man in … [+697 chars]",,de,'Sonne'
https://www.ibiza-heute.de/ibiza-leserfoto-des-tages-in-ibizaheute-48/,https://www.ibiza-heute.de/ibiza-leserfoto-des-tages-in-ibizaheute-48/,0,www.ibiza-heute.de,Ibiza: Leserfoto des Tages in IbizaHEUTE,"Die schroffen Felsen westlich der Cala Aguas Blancas im Morgenlicht. In wenigen Minuten wird die Sonne aufgehen. Schon jetzt ist […]
Der Beitrag Ibiza: Leserfoto des Tages in IbizaHEUTE erschien zuerst auf Ibiza Heute.",https://www.ibiza-heute.de/wp-content/uploads/2023/05/SonnenaufgangSOPuch.jpg,2023-05-03T04:00:54Z,,Die schroffen Felsen westlich der Cala Aguas Blancas im Morgenlicht. In wenigen Minuten wird die Sonne aufgehen. Schon jetzt ist der Himmel im Osten der Insel fast so blau wie das Meer. Am Horizont d… [+1344 chars],,de,'Sonne'
