index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.spektrum.de/news/halsbandsittiche-in-deutschland/2219880,https://www.spektrum.de/news/halsbandsittiche-in-deutschland/2219880,0,www.spektrum.de,Ornithologie: Papageien in Deutschland,"Vor allem in den Großstädten entlang des Rheins haben sich Sittiche häuslich niedergelassen. Wie schaffen es die exotischen Vögel, hier zu überleben?",https://static.spektrum.de/fm/912/f1920x1080/AdobeStock_174945074.jpeg,2025-01-01T07:00:00Z,http://archive.md/20250101085656/https://www.spektrum.de/news/halsbandsittiche-in-deutschland/2219880,"Touristen, die spätnachmittags in Köln am Rhein spazieren gehen, erleben mitunter eine Überraschung: Plötzlich schießt ein Schwarm grüner Vögel pfeilschnell über die Köpfe der Spaziergänger hinweg un… [+24903 chars]",,de,'Vögel'
https://www.zeit.de/news/2025-01/01/schneeschauer-in-rheinland-pfalz-und-im-saarland,https://www.zeit.de/news/2025-01/01/schneeschauer-in-rheinland-pfalz-und-im-saarland,0,www.zeit.de,Wetter: Schneeschauer in Rheinland-Pfalz und im Saarland,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Schneeschauer in Rheinland-Pfalz und im Saarland“.,https://img.zeit.de/news/2025-01/01/schneeschauer-in-rheinland-pfalz-und-im-saarland-image-group/wide__1300x731,2025-01-01T10:34:51Z,https://web.archive.org/web/20250102152631/https://www.zeit.de/news/2025-01/01/schneeschauer-in-rheinland-pfalz-und-im-saarland,Regnerisches Wetter mit teilweise Schnee in höheren Lagen wird in Rheinland-Pfalz und im Saarland erwartet. Die Temperaturen steigen am Donnerstag nach Angaben des Deutschen Wetterdienstes (DWD) im T… [+318 chars],,de,'Schnee'
https://www.zeit.de/news/2025-01/01/das-neue-jahr-startet-stuermisch-regen-und-schnee-in-sicht,https://www.zeit.de/news/2025-01/01/das-neue-jahr-startet-stuermisch-regen-und-schnee-in-sicht,0,www.zeit.de,Wetterausblick in NRW: Das neue Jahr startet stürmisch - Regen und Schnee in Sicht,Hier finden Sie Informationen zu dem Thema „Wetterausblick in NRW“. Lesen Sie jetzt „Das neue Jahr startet stürmisch - Regen und Schnee in Sicht“.,https://img.zeit.de/news/2025-01/01/das-neue-jahr-startet-stuermisch-regen-und-schnee-in-sicht-image-group/wide__1300x731,2025-01-01T11:36:57Z,,Zu Beginn des Jahres 2025 müssen sich die Menschen in Nordrhein-Westfalen auf windiges Wetter einstellen. Den gesamten Neujahrstag sei verbreitet mit Sturmböen zwischen 60 und 80 Stundenkilometern zu… [+1059 chars],,de,'Regen'
https://www.zeit.de/news/2025-01/01/nach-sonne-an-neujahr-folgen-regen-und-schnee-in-bayern,https://www.zeit.de/news/2025-01/01/nach-sonne-an-neujahr-folgen-regen-und-schnee-in-bayern,0,www.zeit.de,Wettervorhersage: Nach Sonne an Neujahr folgen Regen und Schnee in Bayern,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Nach Sonne an Neujahr folgen Regen und Schnee in Bayern“.,https://img.zeit.de/news/2025-01/01/nach-sonne-an-neujahr-folgen-regen-und-schnee-in-bayern-image-group/wide__1300x731,2025-01-01T14:13:51Z,,"Nach einem meist sonnigen Neujahrstag werden in Bayern an den nächsten Tagen Schnee und Regen erwartet. In der Nacht zu Donnerstag werde es zunächst noch klar sein, sagte ein Sprecher des Deutschen W… [+792 chars]",,de,'Sonne'
https://www.stern.de/panorama/wetter/wetter-heute--so-wird-das-wetter-am-donnerstag---die-vorhersage-35348436.html,https://www.stern.de/panorama/wetter/wetter-heute--so-wird-das-wetter-am-donnerstag---die-vorhersage-35348436.html,0,www.stern.de,Vorhersage: Wind und Schauer – so wird das Wetter am Donnerstag,"Gibt es Regenschauer oder Sonnenschein? Der stern verrät Ihnen, wie das Wetter heute bei Ihnen im Ort wird – mit der offiziellen Vorhersage und interaktiven Karten.",https://image.stern.de/35348448/t/6x/v1/w1440/r1.7778/-/wetter-donnerstag-wind.jpg,2025-01-02T05:44:00Z,,"Kopiere den aktuellen Link
Gibt es Regenschauer oder Sonnenschein? Der stern verrät Ihnen, wie das Wetter heute bei Ihnen im Ort wird mit der offiziellen Vorhersage und interaktiven Karten.
Wie wir… [+1500 chars]",,de,'Regen'
https://www.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet,https://www.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet,0,www.zeit.de,"Wetter: Schnee, Regen und Glätte in NRW erwartet","Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Schnee, Regen und Glätte in NRW erwartet“.",https://img.zeit.de/news/2025-01/02/schnee-regen-und-glaette-in-nrw-erwartet-image-group/wide__1300x731,2025-01-02T05:58:30Z,,"Eine Mischung aus Schnee und Regen erwartet die Menschen in Nordrhein-Westfalen auf dem Weg zum ersten Wochenende des Jahres. Am Vormittag schneit es oberhalb von 200 bis 300 Metern, wie der Deutsche… [+1123 chars]",,de,'Schnee'
https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/wetter--schnee--regen-und-glaette-in-nrw-erwartet-35348874.html,https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/wetter--schnee--regen-und-glaette-in-nrw-erwartet-35348874.html,0,www.stern.de,"Wetter: Schnee, Regen und Glätte in NRW erwartet",Essen (lnw) - Eine Mischung aus Schnee und Regen erwartet die Menschen in Nordrhein-Westfalen auf dem Weg zum ersten Wochenende des Jahres. Am Vormittag,https://image.stern.de/35348876/t/S8/v1/w1440/r1.7778/-/02--v6rkcqhi4vv8axs2048jpeg---705c4b50a5261f05.jpg,2025-01-02T05:58:30Z,,"Kopiere den aktuellen Link
Das neue Jahr bringt einen Mix aus Schnee und Regen nach Nordrhein-Westfalen. Dabei kann es glatt werden, sagt der Deutsche Wetterdienst voraus.
Eine Mischung aus Schnee … [+1257 chars]",,de,'Regen'
https://www.stern.de/gesellschaft/regional/hessen/ausblick--winterwetter-in-hessen---meteorologen-warnen-vor-glaette-35348898.html,https://www.stern.de/gesellschaft/regional/hessen/ausblick--winterwetter-in-hessen---meteorologen-warnen-vor-glaette-35348898.html,0,www.stern.de,Ausblick: Winterwetter in Hessen - Meteorologen warnen vor Glätte,Offenbach/Main (lhe) - In Hessen wird das Wetter zum Wochenende winterlich: Wind und Regen werden von Schnee und Frost abgelöst. Der Deutsche Wetterdienst,https://image.stern.de/35348900/t/zg/v1/w1440/r1.7778/-/02--7k764xcxl5v3axs2048jpeg---93b59a55265e700a.jpg,2025-01-02T06:01:54Z,,"Kopiere den aktuellen Link
Zum Wochenende fallen die Temperaturen in Hessen. Meteorologen erwarten Regen, Schnee und Frost. Auf den Straßen kann es glatt werden.
In Hessen wird das Wetter zum Woche… [+766 chars]",,de,'Schnee'
https://www.zeit.de/news/2025-01/02/kaltfront-bringt-schnee-und-regen,https://www.zeit.de/news/2025-01/02/kaltfront-bringt-schnee-und-regen,0,www.zeit.de,Wetterausblick: Kaltfront bringt Schnee und Regen,Hier finden Sie Informationen zu dem Thema „Wetterausblick“. Lesen Sie jetzt „Kaltfront bringt Schnee und Regen“.,https://img.zeit.de/news/2025-01/02/kaltfront-bringt-schnee-und-regen-image-group/wide__1300x731,2025-01-02T06:23:16Z,https://web.archive.org/web/20250103152604/https://www.zeit.de/news/2025-01/02/kaltfront-bringt-schnee-und-regen,Der Deutsche Wetterdienst (DWD) meldet für Rheinland-Pfalz und das Saarland bis zum Wochenende wechselhaftes Wetter. Heute bringt eine Kaltfront Regen und Schnee bei Temperaturen zwischen 3 und 6 Gra… [+675 chars],,de,'Regen'
https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetterausblick--kaltfront-bringt-schnee-und-regen-35348930.html,https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetterausblick--kaltfront-bringt-schnee-und-regen-35348930.html,0,www.stern.de,Wetterausblick: Kaltfront bringt Schnee und Regen,Offenbach/Main (lrs) - Der Deutsche Wetterdienst (DWD) meldet für Rheinland-Pfalz und das Saarland bis zum Wochenende wechselhaftes Wetter. Heute bringt,https://image.stern.de/35348932/t/Kj/v1/w1440/r1.7778/-/02--3div66bpxhv8axs2048jpeg---d055c4a63fe69800.jpg,2025-01-02T06:23:16Z,,"Kopiere den aktuellen Link
Die Menschen in Rheinland-Pfalz und dem Saarland erwartet zum Wochenende ein Mix aus Schnee und Regen. Nachts kann es glatt werden
Der Deutsche Wetterdienst (DWD) meldet … [+795 chars]",,de,'Schnee'
